family,key,relL2_oracle,relL2_random,relL2_sigma_0.25,relL2_sigma_0.5,relL2_sigma_1.0,relL2_zero
sparc_1509,run61_sparc_1509,1.234690599387183,1.5559104056461037,1.231870418012458,1.2871895824646649,1.434658735361022,1.0535424499851944
sparc_1314,run40_sparc_1314,2.028483732106267,3.053314593926352,2.084909834930533,2.2307904417771507,2.7121430244180544,1.4228646372696394
sparc_1358,run57_sparc_1358,2.29146603246585,4.228866878912317,2.430154725168605,2.503621311822779,3.7205574655979556,1.6761586702512234
sparc_1414,run45_sparc_1414,1.703696154272789,2.4151994061738176,1.6979132903383485,1.8434886659166032,1.804560222713608,1.224926063807786
sparc_1413,run39_sparc_1413,1.5421265476185155,2.4959313609971834,1.5589786820177276,1.809164971889707,2.0085134938678983,1.2834068934032674
sparc_1526,run1_sparc_1526,1.0989898622660046,1.7315882154069733,1.1028805836943505,1.171542996380078,1.268463898063409,1.0685489269536457
sparc_1509,run83_sparc_1509,2.2171562803501756,3.0517170859153526,2.1616707882557917,2.531118706369587,2.9978851315814348,1.4508284842220174
sparc_1423,run38_sparc_1423,2.049368451530595,2.9696848865381704,2.03196073790512,2.1290347610701685,2.663549322475664,1.387003055773573
sparc_1525,run73_sparc_1525,1.1520465443302865,1.498832807656364,1.1517244798869521,1.140557257424867,1.381191784348303,1.060279300387158
sparc_1401,run2_sparc_1401,1.070273167389676,1.575580572305082,1.0707249876670406,1.1134591635281774,1.3200617703982227,1.0599832862444287
sparc_1406,run28_sparc_1406,1.0234323477265495,1.5571905639063621,1.0412137280193732,1.0857655215888555,1.2680777504256429,1.1206011309800443
sparc_1401,run11_sparc_1401,0.9996930982539927,1.5644364534759265,1.0054768541609962,1.0463627570707676,1.2727593765892808,1.049722931924895
sparc_1318,run95_sparc_1318,2.205131810862499,3.9420005439725516,2.2905257026818764,2.5622531971667053,3.1403907536463835,1.5227393125666515
sparc_1425,run39_sparc_1425,1.786784690719586,2.3126820320261956,1.8439990000823578,1.9686212780779557,2.055162432758062,1.2711480732420029
sparc_1403,run58_sparc_1403,1.8163150118554843,2.533838298024,1.8936815780644427,2.1456553022708067,2.4322792575387995,1.3368043532127631
sparc_1406,run39_sparc_1406,1.454900996704145,2.4990842858264095,1.509402931887574,1.5877057548665852,1.965482973086724,1.226572717395864
sparc_1355,run94_sparc_1355,2.0120633782363044,2.9722282887578952,1.9450815692163024,2.1233841676736267,2.6508041456044,1.2851278712869507
sparc_1365,run42_sparc_1365,1.7639158775355057,2.7316257802818695,1.7462315027062691,1.8238857348285644,2.3641764384613526,1.2973480641266895
sparc_1409,run22_sparc_1409,1.2930661529531102,1.5312693020815205,1.3042828479272717,1.3513112806433483,1.5001140465389196,1.0744056534009179
sparc_1353,run72_sparc_1353,1.902536870376618,2.9090960925331464,1.9694519263275834,2.1399812970208654,2.724557064926915,1.4326627391937188
sparc_1363,run96_sparc_1363,1.943265830363045,3.1629845903314817,1.9930180311074661,2.339342809850834,2.853140347158546,1.3477872157116129
sparc_1353,run40_sparc_1353,1.9261523929671442,3.2640283101591647,1.8062705334263265,2.0857419175672685,2.7786692774605815,1.4632305089780024
sparc_1400,run37_sparc_1400,0.9041140347812644,1.2930678679785628,0.9167374214946304,0.9601496757145231,1.1696509460020883,1.0313944243107187
sparc_1315,run35_sparc_1315,2.248715392732542,3.4276626072557317,2.2791191699882467,2.481705645271674,2.4328484288206216,1.4586664265735823
sparc_1353,run55_sparc_1353,1.8585202508922931,2.9400931636236587,1.9366548585247816,1.9005033792663588,2.3543550399228055,1.3982686795261292
sparc_1520,run37_sparc_1520,1.032928404218496,1.2172815855723802,1.03593278399263,1.0511045739074276,1.1493664471874148,0.9886080790443281
sparc_1317,run20_sparc_1317,2.0028994668123663,3.2393391855743654,2.02789435819855,2.1626823249574025,2.5856433630907056,1.4260015555625563
sparc_1427,run66_sparc_1427,1.2218272548825564,1.6464116160479045,1.2436758035937434,1.325251397047594,1.4221254122097762,1.0749294443233723
sparc_1364,run37_sparc_1364,1.0405348038760638,1.2342822639088087,1.0510868869364445,1.045065303261807,1.1361347051605462,1.081597988632934
sparc_1302,run90_sparc_1302,1.0423035380254588,1.4202689100197847,1.0499294864477415,1.1012307622222919,1.2607230790075903,1.0548012557760749
sparc_1504,run71_sparc_1504,1.715995147297867,2.750561819101911,1.6978136864849664,1.8299080779143126,2.2061153130327344,1.315418213958618
sparc_1401,run91_sparc_1401,1.1111291224999669,1.5344285897310397,1.129841539465729,1.1655572013789008,1.3133994479097386,1.1083124689998314
sparc_1306,run19_sparc_1306,2.0436794457129888,2.6079887705954814,2.1305818982382494,2.2439094634934533,2.344792162865561,1.3061973723752018
sparc_1304,run40_sparc_1304,1.1956195416714472,1.565779886670885,1.2132888600572207,1.289714196822598,1.4060861378108875,1.0679428168449265
sparc_1424,run43_sparc_1424,1.18335916041348,1.762946710660697,1.2380786676652942,1.2162099304345189,1.626771848886604,1.1289953284070122
sparc_1423,run3_sparc_1423,1.3086401495065245,1.9339991324062207,1.3221516223661693,1.3495851681211004,1.6889635532900913,1.1722062902738182
sparc_1360,run9_sparc_1360,1.7084910452505655,2.8009118722007385,1.7681599174874019,1.794997109802775,2.12050283144324,1.3687800064413111
sparc_1413,run85_sparc_1413,1.135164742651509,1.4515670966005052,1.1798638146026554,1.2048184659300327,1.412590713897608,1.049180648455134
sparc_1440,run92_sparc_1440,1.1509950463020435,1.7784753577321544,1.1706496184981772,1.2108292726864962,1.5285519386410884,1.0866067014236982
sparc_1500,run25_sparc_1500,0.9623382753324149,1.4247785230762045,0.9669929080232584,0.9901435407670618,1.1683068342349285,1.0806177781910573
sparc_1514,run78_sparc_1514,1.9071409493655365,2.333913314970638,1.9158701444440462,2.0390103281424814,2.3050535017191978,1.2725886799208401
sparc_1309,run92_sparc_1309,1.8958173532323568,2.826932199376328,1.9817301097212656,2.062325786737822,2.724611267945895,1.4183974568441018
sparc_1306,run21_sparc_1306,0.9850585720079543,1.7330014486328622,0.9905537744788632,1.0167773889564755,1.2032385672320978,1.1096485274054795
sparc_1414,run15_sparc_1414,1.838936060711327,2.9620418363299073,1.8847687393208954,2.0549754262932893,2.3274384361656812,1.3881531265530682
sparc_1519,run38_sparc_1519,1.6380066196110357,2.5525696122526695,1.613950375256138,1.8650511148958548,2.1553522400013874,1.3854219738302522
sparc_1425,run88_sparc_1425,1.1590118650949797,1.838624236361023,1.1808293921057333,1.2639550558470007,1.4055455204199812,1.1614594147505943
sparc_1411,run43_sparc_1411,2.062082987808193,3.2817654793812108,2.0973203016396593,2.4705667342356854,3.153208226363849,1.419907816190087
sparc_1426,run31_sparc_1426,1.1401673582113439,1.8132837491821032,1.13329129585834,1.2902786046161938,1.4746292780083985,1.0758939944886252
sparc_1354,run9_sparc_1354,1.6073732241040826,2.6093468129406516,1.6825307104406189,1.9629462243447797,2.046260162302817,1.323688538185323
sparc_1302,run79_sparc_1302,1.0680602928365797,1.534058629255033,1.0840105878843476,1.1364747786269906,1.3578025572687922,1.0599439206377925
sparc_1363,run29_sparc_1363,1.815022128677936,2.7746431945331174,1.8252474106483372,1.914031722155144,2.148728623657345,1.380813242899549
sparc_1504,run56_sparc_1504,2.1687227836180387,2.6787165466098597,2.08561055781523,2.1604142658643917,2.669215690993193,1.3319911622746177
sparc_1429,run16_sparc_1429,1.2355436422489363,1.709245727684587,1.2462315103858708,1.2519840907367121,1.5624104446140392,1.0994731003721756
sparc_1363,run49_sparc_1363,2.0627841618948333,3.9892838840673175,2.0776658137977697,2.3781300352702166,3.2066576981346224,1.6285415741655722
sparc_1306,run41_sparc_1306,1.5804446866106154,1.9573111852506928,1.566125610370565,1.5876746085535178,1.942765444898982,1.1463192442108632
sparc_1310,run92_sparc_1310,2.0476649127227953,3.2084726520855984,2.1427360732252723,2.1896187434747287,3.061409650697044,1.3531794915393796
sparc_1310,run69_sparc_1310,1.529652917170106,2.6452549881210743,1.5849110920093323,1.6578788705852197,2.172157580840641,1.2965841423036724
sparc_1359,run16_sparc_1359,1.4009940173540771,2.2257865192474524,1.468450583095696,1.484801824210307,1.8956259647707037,1.2082992939435748
sparc_1316,run76_sparc_1316,1.7124135331801893,3.0432077238294752,1.7106522353437612,1.9344507006925142,2.4436367176524585,1.3899336896001568
sparc_1308,run99_sparc_1308,1.4859517405299998,2.6417902983123467,1.6002179644258177,1.6672420579073068,2.3132129265368646,1.3259626817425878
sparc_1414,run27_sparc_1414,2.197064031024365,3.198091597794062,2.313669497373407,2.172370167644706,2.863541999047138,1.4041162568297527
sparc_1520,run46_sparc_1520,1.7531760492011337,2.734960925786579,1.7006729627528456,1.9876407626227774,2.022637730859343,1.2920954666515196
sparc_1355,run61_sparc_1355,2.1706186503787555,3.6472909958873663,2.229426698725117,2.302799082851003,3.0969498278203202,1.5519990141815465
sparc_1509,run64_sparc_1509,2.2002775588778847,3.353110292827857,2.099980510900487,2.4592894137369044,3.3239408330200413,1.4578045191563231
sparc_1515,run60_sparc_1515,1.6962859041306066,2.511095921869701,1.7343393757802417,1.9490330306309058,2.4730954790113016,1.2765223628514937
sparc_1518,run96_sparc_1518,1.913504636276733,2.842154342197535,1.9169048592699505,2.1897976114742743,2.575766372406649,1.3242964775545698
sparc_1314,run45_sparc_1314,1.7903231173708793,2.3142146978155593,1.747544593725054,1.8893795202593415,2.1818924290928847,1.3152320186538868
sparc_1525,run69_sparc_1525,1.765147117796759,2.4892207430889473,1.8266721384584355,1.8148556851276654,2.357268062294879,1.3033565995828211
sparc_1509,run67_sparc_1509,1.862951772432533,2.6416090510280648,1.8717262506853234,1.9128434030804597,2.3912440233678613,1.352065795410617
sparc_1357,run78_sparc_1357,1.696257116585961,2.512453838202038,1.701207517127794,1.9236128916914583,2.2212320065547195,1.3084935794572983
