key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,winner
run37_sparc_1528,sparc_1528,0.689953,0.645625,0.714947,0.679579,0.639604,0.692182,0.896072,0.897757,0.895088,0.928918,0.767262,0.956918,spectrum_fno48_floor6_smooth1_qc_peak4
run38_sparc_1300,sparc_1300,0.402097,0.418647,0.299816,0.397722,0.403255,0.299606,0.984033,0.975845,0.986056,0.882050,0.604993,0.821708,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1308,sparc_1308,0.632040,0.883307,0.645001,0.604731,0.770710,0.598907,0.907302,0.902518,0.912049,0.908699,0.929810,0.890875,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1309,sparc_1309,0.529624,0.628075,0.541110,0.526886,0.614544,0.540946,0.910926,0.907534,0.878330,0.903866,0.882514,0.962024,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1310,sparc_1310,0.532697,0.580982,0.516360,0.514772,0.559094,0.501451,0.897997,0.913761,0.917815,0.869761,0.647185,0.951930,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1311,sparc_1311,0.534171,0.550916,0.515971,0.521037,0.540639,0.503864,0.897464,0.914596,0.915128,0.889022,0.580656,0.963728,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1350,sparc_1350,0.492587,0.518665,0.486702,0.483592,0.497466,0.477035,0.919395,0.924601,0.964818,0.838237,0.687241,0.925498,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1351,sparc_1351,0.503997,0.519388,0.489376,0.478849,0.491445,0.471987,0.926123,0.923438,0.913638,0.909424,0.779795,0.965690,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1353,sparc_1353,0.436098,0.552040,0.441347,0.432569,0.552040,0.439052,0.900295,0.901463,0.882590,0.891985,0.827327,0.958639,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1354,sparc_1354,0.490734,0.545533,0.490529,0.489879,0.545530,0.489930,0.857466,0.878375,0.883977,0.937282,0.815556,0.953465,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1357,sparc_1357,0.505332,0.578343,0.504810,0.502859,0.567926,0.501696,0.906767,0.907056,0.896784,0.908707,0.750230,0.948077,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1359,sparc_1359,0.418092,0.518727,0.441983,0.417935,0.505805,0.440192,0.907456,0.914892,0.910107,0.904420,0.860425,0.901710,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1362,sparc_1362,0.418363,0.511772,0.440528,0.416981,0.505384,0.439929,0.884663,0.889330,0.889647,0.898399,0.877258,0.954780,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1402,sparc_1402,0.670463,0.836551,0.466290,0.598648,0.623499,0.465634,0.892890,0.927577,0.950724,0.950840,0.887299,0.903674,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1414,sparc_1414,0.563370,0.576426,0.616232,0.524036,0.534671,0.563052,0.930408,0.931505,0.949820,0.778604,0.575792,0.877888,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1423,sparc_1423,1.458270,1.798826,1.651352,0.872873,0.906056,0.881857,0.793186,0.801371,0.816120,0.949659,0.859056,0.975875,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1426,sparc_1426,0.805271,1.022807,0.835388,0.689992,0.826207,0.667099,0.656045,0.407982,0.649695,0.978587,0.968470,0.982478,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1503,sparc_1503,0.709825,1.129050,0.658908,0.520691,0.800103,0.511377,0.903660,0.887617,0.885717,0.960722,0.933708,0.957944,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run38_sparc_1513,sparc_1513,0.584600,0.606049,0.608090,0.508764,0.552388,0.535321,0.936254,0.937172,0.937051,0.892528,0.619788,0.942311,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1514,sparc_1514,0.564558,0.585245,0.570805,0.503283,0.542298,0.527118,0.930916,0.930016,0.926351,0.861736,0.676679,0.849950,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1515,sparc_1515,0.541619,0.560789,0.556973,0.496627,0.524621,0.509061,0.928909,0.928509,0.923711,0.883653,0.682273,0.907744,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1516,sparc_1516,0.490501,0.549567,0.494040,0.484715,0.515908,0.488737,0.924430,0.925278,0.918813,0.888655,0.723622,0.927747,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run38_sparc_1519,sparc_1519,0.496914,0.610025,0.508764,0.491562,0.575536,0.500909,0.903452,0.902931,0.886740,0.922818,0.796634,0.874043,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1313,sparc_1313,0.555996,0.625182,0.554774,0.546387,0.611888,0.546740,0.914489,0.913249,0.962360,0.901942,0.721915,0.876010,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run39_sparc_1316,sparc_1316,0.550047,0.643464,0.555893,0.539470,0.626273,0.546799,0.868175,0.879041,0.866196,0.946374,0.840461,0.934846,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1351,sparc_1351,0.557356,0.651829,0.566443,0.546858,0.628411,0.555796,0.902409,0.903745,0.887616,0.915893,0.704314,0.923214,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1352,sparc_1352,0.567545,0.741221,0.574760,0.559749,0.664138,0.563449,0.895312,0.899014,0.895936,0.854512,0.782494,0.907119,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1358,sparc_1358,0.483371,0.590785,0.503008,0.476293,0.569896,0.492081,0.886672,0.896287,0.882565,0.940736,0.906481,0.932314,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1364,sparc_1364,0.537595,0.706656,0.558678,0.533081,0.664157,0.549974,0.874103,0.880024,0.877198,0.824219,0.890538,0.902727,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1404,sparc_1404,0.724905,0.887346,0.826417,0.668352,0.707258,0.677526,0.900906,0.918738,0.916501,0.957927,0.942543,0.957809,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1406,sparc_1406,1.169478,1.260657,1.260229,0.777401,0.810825,0.795461,0.937580,0.942980,0.946454,0.886487,0.873551,0.909201,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1413,sparc_1413,0.585854,0.661513,0.577847,0.559283,0.629937,0.559885,0.907522,0.905540,0.940052,0.896848,0.763341,0.893633,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run39_sparc_1415,sparc_1415,0.558603,0.620893,0.573457,0.547457,0.586327,0.560181,0.904643,0.903992,0.916759,0.935679,0.740782,0.927875,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1420,sparc_1420,0.524958,0.646845,0.563325,0.515733,0.616912,0.537901,0.898903,0.896707,0.893025,0.858792,0.896039,0.973732,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run39_sparc_1423,sparc_1423,1.110586,1.594831,1.314052,0.769429,0.830625,0.798422,0.940393,0.951169,0.928594,0.947996,0.782930,0.967584,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
